Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,1
100,2,8,0,128,1
100,6,1,0,1024,10
100,5,8,0,128,1
100,7,2,0,512,10
100,8,4,0,256,10
100,9,8,0,128,10
100,10,16,0,64,10
100,11,32,0,32,10
100,12,32,0,32,10
100,13,32,0,32,10
100,14,32,0,32,10
100,15,32,0,32,10
930,1,8,0,128,1
930,2,8,0,128,1
930,6,1,0,1024,93
930,5,8,0,128,1
930,7,2,0,512,93
930,8,4,0,256,93
930,9,8,0,128,93
930,10,16,0,64,93
930,11,32,0,32,93
930,12,32,0,32,93
930,13,32,0,32,93
930,14,32,0,32,93
930,15,32,0,32,93
1760,1,8,0,128,1
1760,2,8,0,128,1
1760,6,1,0,1024,176
1760,5,8,0,128,1
1760,7,2,0,512,176
1760,8,4,0,256,176
1760,9,8,0,128,176
1760,10,16,0,64,176
1760,11,32,0,32,176
1760,12,32,0,32,176
1760,13,32,0,32,176
1760,14,32,0,32,176
1760,15,32,0,32,176
2650,1,8,0,128,1
2650,2,8,0,128,1
2650,6,1,0,1024,265
2650,5,8,0,128,1
2650,7,2,0,512,265
2650,8,4,0,256,265
2650,9,8,0,128,265
2650,10,16,0,64,265
2650,11,32,0,32,265
2650,12,32,0,32,265
2650,13,32,0,32,265
2650,14,32,0,32,265
2650,15,32,0,32,265
3480,1,8,0,128,1
3480,2,8,0,128,1
3480,6,1,0,1024,348
3480,5,8,0,128,1
3480,7,2,0,512,348
3480,8,4,0,256,348
3480,9,8,0,128,348
3480,10,16,0,64,348
3480,11,32,0,32,348
3480,12,32,0,32,348
3480,13,32,0,32,348
3480,14,32,0,32,348
3480,15,32,0,32,348
4360,1,8,0,128,1
4360,2,8,0,128,1
4360,6,1,0,1024,436
4360,5,8,0,128,1
4360,7,2,0,512,436
4360,8,4,0,256,436
4360,9,8,0,128,436
4360,10,16,0,64,436
4360,11,32,0,32,436
4360,12,32,0,32,436
4360,13,32,0,32,436
4360,14,32,0,32,436
4360,15,32,0,32,436
5190,1,8,0,128,1
5190,2,8,0,128,1
5190,6,1,0,1024,519
5190,5,8,0,128,1
5190,7,2,0,512,519
5190,8,4,0,256,519
5190,9,8,0,128,519
5190,10,16,0,64,519
5190,11,32,0,32,519
5190,12,32,0,32,519
5190,13,32,0,32,519
5190,14,32,0,32,519
5190,15,32,0,32,519
6070,1,8,0,128,1
6070,2,8,0,128,1
6070,6,1,0,1024,607
6070,5,8,0,128,1
6070,7,2,0,512,607
6070,8,4,0,256,607
6070,9,8,0,128,607
6070,10,16,0,64,607
6070,11,32,0,32,607
6070,12,32,0,32,607
6070,13,32,0,32,607
6070,14,32,0,32,607
6070,15,32,0,32,607
6900,1,8,0,128,1
6900,2,8,0,128,1
6900,6,1,0,1024,690
6900,5,8,0,128,1
6900,7,2,0,512,690
6900,8,4,0,256,690
6900,9,8,0,128,690
6900,10,16,0,64,690
6900,11,32,0,32,690
6900,12,32,0,32,690
6900,13,32,0,32,690
6900,14,32,0,32,690
6900,15,32,0,32,690
7780,1,8,0,128,1
7780,2,8,0,128,1
7780,6,1,0,1024,778
7780,5,8,0,128,1
7780,7,2,0,512,778
7780,8,4,0,256,778
7780,9,8,0,128,778
